orbit_index,time_s,time_s_end,t_orb_s,M_out_orbit,M_sink_orbit,M_loss_orbit,M_out_per_orbit,M_sink_per_orbit,M_loss_per_orbit,mass_loss_frac_per_orbit,M_out_cum,M_sink_cum,M_loss_cum,r_RM,T_M,slope_dlnM_dlnr
152,3496582.08,3489541.193578062,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
153,3521828.16,3512498.7014305494,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
154,3547074.24,3535456.2092830366,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
155,3559697.2800000003,3558413.717135524,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
156,3584943.3600000003,3581371.224988011,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
157,3610189.4400000004,3604328.7328404984,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
158,3635435.5200000005,3627286.240692986,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
159,3660681.6,3650243.748545473,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
160,3673304.64,3673201.2563979602,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
161,3698550.72,3696158.7642504475,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
162,3723796.8000000003,3719116.272102935,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
163,3749042.8800000004,3742073.779955422,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
164,3774288.9600000004,3765031.2878079093,22957.50785248725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.448738752028323,2000.0,
