time,mass_initial,mass_remaining,mass_lost,mass_diff,error_percent,tolerance_percent,mass_loss_rp_mars,mass_loss_hydro_drag,mass_loss_surface_solid_marsRP
39371261.760000005,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39383884.800000004,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39396507.84,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39409130.88,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39421753.92,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39434376.96,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39447000.0,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39459623.04,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39472246.08,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39484869.120000005,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39497492.160000004,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39510115.2,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39522738.24,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39535361.28,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39547984.32,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39560607.36,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39573230.4,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39585853.440000005,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39598476.480000004,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39611099.52,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39623722.56,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39636345.6,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39648968.64,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39661591.68,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39674214.72,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39686837.760000005,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39699460.800000004,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39712083.84,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39724706.88,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39737329.92,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39749952.96,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39762576.0,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39775199.04,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39787822.08,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39800445.120000005,1e-05,1e-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0
